"x","y"
"absolutely","2"
"acute","2"
"acutely","2"
"ain't","1"
"ain't no","1"
"aint","1"
"almost","3"
"although","4"
"aren't","1"
"arent","1"
"barely","3"
"billions","2"
"but","4"
"can't","1"
"cannot","1"
"cant","1"
"certain","2"
"certainly","2"
"clear of","1"
"colossal","2"
"colossally","2"
"considerably","2"
"couldn't","1"
"couldnt","1"
"daren't","1"
"darent","1"
"decidedly","2"
"deep","2"
"deeply","2"
"definite","2"
"definitely","2"
"despite all that","4"
"despite all this","4"
"despite that","4"
"despite this","4"
"didn't","1"
"didnt","1"
"doesn't","1"
"doesnt","1"
"don't","1"
"dont","1"
"enormous","2"
"enormously","2"
"especially","2"
"extreme","2"
"extremely","2"
"faintly","3"
"few","3"
"free of","1"
"greatly","2"
"hadn't","1"
"hadnt","1"
"hardly","3"
"hasn't","1"
"hasnt","1"
"haven't","1"
"havent","1"
"heavily","2"
"heavy","2"
"high","2"
"highly","2"
"however","4"
"huge","2"
"hugely","2"
"hundreds","2"
"immense","2"
"immensely","2"
"incalculable","2"
"incalculably","2"
"incredibly","3"
"isn't","1"
"isnt","1"
"kind of","3"
"kinda","3"
"least","3"
"little","3"
"major","2"
"majorly","2"
"massive","2"
"massively","2"
"maximal","2"
"maximum","2"
"mightn't","1"
"mightnt","1"
"millions","2"
"minimal","3"
"minimum","3"
"minor","3"
"more","2"
"most","2"
"much","2"
"mustn't","1"
"mustnt","1"
"needn't","1"
"neednt","1"
"neither","1"
"never","1"
"no","1"
"no sign of","1"
"no signs of","1"
"nobody","1"
"none","1"
"nor","1"
"not","1"
"only","3"
"oughtn't","1"
"oughtnt","1"
"particular","2"
"particularly","2"
"partly","3"
"purpose","2"
"purposely","2"
"quite","2"
"rarely","3"
"real","2"
"really","2"
"seldom","3"
"serious","2"
"seriously","2"
"severe","2"
"severely","2"
"shan't","1"
"shant","1"
"shouldn't","1"
"shouldnt","1"
"significant","2"
"significantly","2"
"slightly","3"
"somewhat","3"
"sort of","3"
"sorta","3"
"sparsely","3"
"sporadically","3"
"sure","2"
"surely","2"
"that being said","4"
"thousands","2"
"tons","2"
"totally","2"
"true","2"
"truly","2"
"uber","2"
"vast","2"
"vastly","2"
"very","2"
"very few","3"
"very little","3"
"wasn't","1"
"wasnt","1"
"weren't","1"
"werent","1"
"whereas","4"
"won't","1"
"wont","1"
"wouldn't","1"
"wouldnt","1"
